GBPUSD Historical Data,,,,,,
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/28/2021 10:00,1.34461,1.34614,1.34448,1.34565,10.4,0.08
12/28/2021 06:00,1.34369,1.34467,1.34298,1.34461,9.2,0.07
12/28/2021 02:00,1.34304,1.34396,1.34281,1.34374,7,0.05
12/27/2021 22:00,1.34367,1.34431,1.3428,1.343,-6.7,-0.05
12/27/2021 18:00,1.34392,1.3445,1.34306,1.34426,3.4,0.03
12/27/2021 14:00,1.34269,1.34438,1.34082,1.34394,12.5,0.09
12/27/2021 10:00,1.34028,1.34282,1.33951,1.34269,24.1,0.18
12/27/2021 06:00,1.34024,1.34189,1.33923,1.34026,0.2,0
12/27/2021 02:00,1.34013,1.34151,1.33988,1.34023,1,0.01
12/26/2021 22:00,1.33797,1.34093,1.33797,1.34012,21.5,0.16
12/24/2021 18:00,1.33944,1.34117,1.3373,1.33731,-21.3,-0.16
12/24/2021 14:00,1.34032,1.34152,1.33814,1.33946,-8.6,-0.06
12/24/2021 10:00,1.34088,1.3419,1.33985,1.34037,-5.1,-0.04
12/24/2021 06:00,1.33904,1.34145,1.33884,1.34103,19.9,0.15
12/24/2021 05:00,1.34957,1.34957,1.34957,1.34957,0,0
12/24/2021 02:00,1.34068,1.34126,1.33879,1.33905,-16.3,-0.12
12/23/2021 22:00,1.34062,1.34136,1.33978,1.34074,1.2,0.01
12/23/2021 18:00,1.34179,1.34208,1.34083,1.34093,-8.6,-0.06
12/23/2021 14:00,1.34145,1.34379,1.3394,1.3418,3.5,0.03
12/23/2021 10:00,1.34035,1.34358,1.34,1.34148,11.3,0.08
12/23/2021 06:00,1.33512,1.34057,1.33484,1.34036,52.4,0.39
12/23/2021 02:00,1.33512,1.33541,1.33422,1.33507,-0.5,0
12/22/2021 22:00,1.33512,1.33605,1.33406,1.33508,-0.4,0
12/22/2021 18:00,1.33567,1.33635,1.33475,1.33504,-6.3,-0.05
12/22/2021 14:00,1.33294,1.33625,1.33186,1.33569,27.5,0.21
12/22/2021 10:00,1.32857,1.33305,1.32838,1.33293,43.6,0.33
12/22/2021 06:00,1.32486,1.32911,1.32401,1.32857,37.1,0.28
12/22/2021 02:00,1.32717,1.3273,1.32479,1.32488,-22.9,-0.17
12/21/2021 22:00,1.32658,1.3275,1.32516,1.32714,5.6,0.04
12/21/2021 18:00,1.32484,1.32709,1.32465,1.32684,20,0.15
12/21/2021 14:00,1.32536,1.32615,1.32304,1.32487,-4.9,-0.04
12/21/2021 10:00,1.32472,1.32617,1.32403,1.32536,6.4,0.05
12/21/2021 06:00,1.32181,1.32514,1.32098,1.32474,29.3,0.22
12/21/2021 02:00,1.32118,1.32194,1.32076,1.32174,5.6,0.04
12/20/2021 22:00,1.32046,1.3214,1.31976,1.32118,7.2,0.05
12/20/2021 18:00,1.32105,1.32187,1.32001,1.32088,-1.7,-0.01
12/20/2021 14:00,1.32391,1.32434,1.3206,1.32106,-28.5,-0.22
12/20/2021 10:00,1.31846,1.32443,1.31831,1.32389,54.3,0.41
12/20/2021 06:00,1.32226,1.32249,1.31734,1.3185,-37.6,-0.29
12/20/2021 02:00,1.32272,1.32321,1.32193,1.32223,-4.9,-0.04
12/19/2021 22:00,1.32371,1.32453,1.32222,1.32277,-9.4,-0.07
12/17/2021 18:00,1.3261,1.32653,1.32301,1.32358,-25.2,-0.19
12/17/2021 14:00,1.329,1.32982,1.32558,1.32616,-28.4,-0.21
12/17/2021 10:00,1.33176,1.33176,1.32803,1.32897,-27.9,-0.21
12/17/2021 06:00,1.33364,1.33394,1.33064,1.33179,-18.5,-0.14
12/17/2021 02:00,1.33252,1.33368,1.33186,1.33363,11.1,0.08
12/16/2021 22:00,1.33196,1.33317,1.33122,1.33253,5.7,0.04
12/16/2021 18:00,1.33191,1.33282,1.33025,1.33223,3.2,0.02
12/16/2021 14:00,1.33569,1.33571,1.33065,1.33186,-38.3,-0.29
12/16/2021 10:00,1.32919,1.33746,1.32586,1.33567,64.8,0.49
12/16/2021 06:00,1.32432,1.33029,1.32416,1.32916,48.4,0.36
12/16/2021 02:00,1.32535,1.32562,1.32415,1.32434,-10.1,-0.08
12/15/2021 22:00,1.32549,1.32684,1.32489,1.32532,-1.7,-0.01
12/15/2021 18:00,1.32121,1.32734,1.31717,1.32573,45.2,0.34
12/15/2021 14:00,1.32554,1.32588,1.32058,1.32118,-43.6,-0.33
12/15/2021 10:00,1.32603,1.32679,1.32463,1.32561,-4.2,-0.03
12/15/2021 06:00,1.32426,1.32826,1.32364,1.326,17.4,0.13
12/15/2021 02:00,1.3232,1.32443,1.32266,1.32425,10.5,0.08
12/14/2021 22:00,1.32293,1.32367,1.32238,1.32326,3.3,0.02
12/14/2021 18:00,1.32276,1.32315,1.32194,1.32272,-0.4,0
